Disease_ID,Disease_Name,Symptoms,Specialist_Doctor,Disease_Category,Treatment_Plan,Medicines,Severity,Disease_Type,Min_Recovery_Days,Max_Recovery_Days,Prevalence
DIS133,Pulmonary Embolism,Sudden breathlessness; Chest pain; Cough with blood,Pulmonologist,Respiratory,Anticoagulants; Thrombolysis; O2 therapy,Heparin; Warfarin; Rivaroxaban,Critical,Acute,14,42,Less Common
DIS134,Sleep Apnea,Loud snoring; Gasping; Daytime fatigue,Pulmonologist,Respiratory,CPAP therapy; Weight loss; Surgery,CPAP; Modafinil; Oxybutynin,Moderate,Chronic,30,90,Common
DIS135,Pericarditis,Chest pain; Fever; Sharp stabbing heart pain,Cardiologist,Cardiovascular,Anti-inflammatory drugs; Colchicine; Rest,Ibuprofen; Colchicine; Aspirin,Moderate,Inflammatory,14,42,Less Common
DIS136,Endocarditis,Fever; Heart murmur; Joint pain; Fatigue,Cardiologist,Cardiovascular,IV Antibiotics; Surgery if severe,Benzylpenicillin; Gentamicin; Vancomycin,Severe,Bacterial,42,90,Less Common
DIS137,Hyperlipidemia,Usually asymptomatic; High cholesterol; Risk of CVD,Cardiologist,Cardiovascular,Statins; Diet; Exercise,Atorvastatin; Rosuvastatin; Ezetimibe,Mild,Metabolic,30,90,Very Common
DIS138,Polycythemia Vera,Headache; Dizziness; Itching; Red skin,Hematologist,Hematological,Phlebotomy; Aspirin; Hydroxyurea,Hydroxyurea; Aspirin; Ruxolitinib,Severe,Cancer,90,365,Rare
DIS139,Dengue Hemorrhagic Fever,High fever; Severe bleeding; Organ failure,General Physician,Infectious,Intensive supportive care; Platelet transfusion,IV Fluids; Platelet support; Paracetamol,Critical,Viral,7,21,Less Common
DIS140,Leptospirosis,Fever; Muscle pain; Jaundice; Red eyes,General Physician,Infectious,Antibiotics; IV fluids; Monitoring,Penicillin; Doxycycline; Ceftriaxone,Moderate,Bacterial,7,21,Less Common
DIS141,Scabies,Intense itching; Burrow marks; Rash between fingers,Dermatologist,Dermatological,Permethrin cream; Oral ivermectin; Antihistamines,Permethrin; Ivermectin; Cetirizine,Mild,Parasitic,7,14,Common
DIS142,Vitiligo,White patches on skin; Loss of skin pigment,Dermatologist,Dermatological,Topical corticosteroids; Phototherapy; Depigmentation,Tacrolimus; Psoralen; Betamethasone,Mild,Autoimmune,90,365,Common
DIS143,Cellulitis,Red swollen skin; Warmth; Fever; Tenderness,Dermatologist,Dermatological,Antibiotics; Elevation; Wound care,Amoxicillin; Flucloxacillin; Clindamycin,Moderate,Bacterial,7,14,Common
DIS144,Renal Failure (Acute),Decreased urine; Swelling; Confusion; Fatigue,Nephrologist,Renal,Dialysis; IV fluids; Treat cause,Furosemide; Calcium gluconate; Sodium bicarbonate,Critical,Acute,7,30,Less Common
DIS145,Lupus (SLE),Butterfly rash; Joint pain; Fatigue; Fever,Rheumatologist,Autoimmune,Immunosuppressants; Antimalarials; Steroids,Hydroxychloroquine; Prednisolone; Azathioprine,Severe,Autoimmune,90,365,Less Common
DIS146,Sjogren's Syndrome,Dry eyes; Dry mouth; Fatigue; Joint pain,Rheumatologist,Autoimmune,Symptomatic relief; Immunosuppressants,Pilocarpine; Hydroxychloroquine; Prednisolone,Moderate,Autoimmune,30,90,Less Common
DIS147,Vasculitis,Skin rash; Fever; Fatigue; Organ involvement,Rheumatologist,Autoimmune,Corticosteroids; Immunosuppressants,Prednisolone; Cyclophosphamide; Azathioprine,Severe,Autoimmune,30,90,Less Common
DIS148,Macular Degeneration,Central vision loss; Blurred vision; Distortion,Ophthalmologist,Ophthalmic,Anti-VEGF injections; Laser therapy; Supplements,Ranibizumab; Aflibercept; Zinc supplements,Severe,Age-related,30,90,Common
DIS149,Amblyopia (Lazy Eye),Reduced vision in one eye; Poor depth perception,Ophthalmologist,Ophthalmic,Eye patching; Glasses; Vision therapy,Atropine drops; Corrective lenses; Patching,Mild,Neurological,30,180,Common
DIS150,Gall Bladder Disease,Upper right abdominal pain; Nausea; Bloating after fatty food,Gastroenterologist,Digestive,Dietary changes; Surgery; Medication,Ursodiol; Analgesics; Antispasmodics,Moderate,Structural,7,30,Common
DIS151,Hemorrhoids,Rectal bleeding; Pain; Itching; Prolapse,Gastroenterologist,Digestive,High-fiber diet; Sitz baths; Surgery,Hydrocortisone cream; Lactulose; Analgesics,Mild,Structural,7,21,Very Common
DIS152,Diverticulitis,Left lower abdominal pain; Fever; Nausea; Change in bowel,Gastroenterologist,Digestive,Antibiotics; Rest; High-fiber diet; Surgery,Metronidazole; Ciprofloxacin; Analgesics,Moderate,Inflammatory,7,21,Common
DIS153,Autism Spectrum Disorder,Social difficulties; Repetitive behavior; Communication challenges,Psychiatrist,Mental Health,Behavioral therapy; Speech therapy; Social skills training,Risperidone; Aripiprazole; Melatonin,Moderate,Neurodevelopmental,90,365,Less Common
DIS154,Dyslexia,Reading difficulty; Letter reversal; Slow reading,Psychiatrist,Mental Health,Special education; Reading therapy; Assistive technology,No medicine; Reading aids; Behavioral support,Mild,Neurodevelopmental,90,365,Common
DIS155,Agoraphobia,Fear of open spaces; Panic; Avoidance behavior,Psychiatrist,Mental Health,CBT; Exposure therapy; Medication,Sertraline; Alprazolam; Clonazepam,Moderate,Psychiatric,30,90,Less Common
